IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
132,Heart failure (I50),775,2654,2294,119,5842,2006
134,Cerebroavascular disease (I60-I69),1861,6371,5095,183,13510,2006
135,Atherosclerosis (I70),35,33,14,0,82,2006
136,Arterial embolism and thrombosis (I74),23,39,12,2,76,2006
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",249,422,188,20,879,2006
125,Essential hypertension (I10),7421,16230,9992,473,34116,2007
126,Hypertensive heart disease (I11),592,1225,695,49,2561,2007
127,Other hypertensive diseases (I12-I15),473,1241,532,65,2311,2007
128,"Acute myocardial infarction (I21,I22)",2479,5651,2169,76,10375,2007
129,"Other ischaemic heart disease  (I20,I23-I25)",7236,17034,8870,364,33504,2007
130,Pulmonary embolism (I26),50,63,55,3,171,2007
131,Cor pulmonale (I27.9),118,290,232,4,644,2007
132,Heart failure (I50),832,2839,2322,192,6185,2007
134,Cerebroavascular disease (I60-I69),2008,7321,5396,164,14889,2007
135,Atherosclerosis (I70),30,30,15,2,77,2007
136,Arterial embolism and thrombosis (I74),12,17,8,2,39,2007
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",294,518,234,28,1074,2007
125,Essential hypertension (I10),6879,16061,9807,407,33154,2008
126,Hypertensive heart disease (I11),639,1553,1690,185,4067,2008
127,Other hypertensive diseases (I12-I15),443,753,947,47,2190,2008
128,"Acute myocardial infarction (I21,I22)",2599,6464,2531,98,11692,2008
129,"Other ischaemic heart disease  (I20,I23-I25)",7245,17130,8771,283,33429,2008
130,Pulmonary embolism (I26),34,100,58,4,196,2008
131,Cor pulmonale (I27.9),71,257,225,10,563,2008
132,Heart failure (I50),1058,3294,2595,128,7075,2008
134,Cerebroavascular disease (I60-I69),2199,7962,5647,199,16007,2008
135,Atherosclerosis (I70),18,20,4,0,42,2008
136,Arterial embolism and thrombosis (I74),11,15,2,3,31,2008
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",239,526,225,17,1007,2008
125,Essential hypertension (I10),7966,16955,9854,182,34957,2009
126,Hypertensive heart disease (I11),777,1925,903,22,3627,2009
127,Other hypertensive diseases (I12-I15),376,664,429,31,1500,2009
