IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",36.000000000000043,22.000000000000014,17.000000000000103,0,88,2019
076,Malignant neoplasm of thyroid gland (C73),956.00000000000193,703.99999999999898,156,0,1835.9999999999964,2019
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",493.00000000000028,765.00000000000114,210.00000000000026,1.0000000000000044,1782.000000000005,2019
078,Hodgkin's disease (C81),313,201.00000000000003,38.000000000000028,0,608.00000000000045,2019
079,Leukaemia (C91-C95),775.00000000000466,656.00000000000011,318,0,4290.0000000000045,2019
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1184.9999999999989,2638.9999999999977,841.00000000000091,0,4808.0000000000073,2019
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",430.00000000000063,957.0000000000008,418.00000000000023,0,1841.000000000003,2020
051,Malaignant neoplasm of oesophagus (C15),201.9999999999996,1248.9999999999989,682.9999999999992,0,2138.0000000000023,2020
052,Malignant neoplasm of stomach (C16),122.00000000000034,332.99999999999977,105.99999999999982,0,561.99999999999864,2020
053,Malignant neoplasm of colon (C18),822.00000000000284,1928.0000000000018,548.99999999999898,0,3306.0000000000036,2020
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",764.00000000000125,1796.9999999999998,599.00000000000034,0,3165.9999999999991,2020
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),103.00000000000001,286.99999999999983,167.00000000000034,0,632.0000000000008,2020
056,Malignant neoplasm of pancreas (C25),86.999999999999915,261.00000000000085,81.999999999999844,0,436,2020
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",74.000000000000071,240.99999999999957,96.000000000000099,0,417.99999999999972,2020
058,Malignant neoplasm of larnyx (C32),29.000000000000057,84,35.000000000000099,0,148.00000000000009,2020
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",414.99999999999955,1173.0000000000023,366.99999999999915,0,1976.0000000000032,2020
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",234.99999999999991,81.000000000000142,32.000000000000064,0,355.99999999999955,2020
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",319.99999999999955,56.999999999999822,27,0,792.99999999999943,2020
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",62,173.99999999999989,86.999999999999801,0,330.00000000000063,2020
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",338.00000000000017,387.99999999999983,130.99999999999989,0,1081.9999999999993,2020
064,Malignant neoplasm of breast (C50),6001.0000000000027,10947.999999999975,2018.9999999999977,1.0000000000000049,18986.999999999978,2020
065,Malignant neoplasm of cervix uteri (C53),1067.0000000000009,2671.0000000000009,727.00000000000148,0,4469.9999999999991,2020
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",357.00000000000006,1545.9999999999986,520.00000000000034,0,2434.0000000000027,2020
067,Malignant neoplasm of placenta (C58),79.999999999999829,15.000000000000068,1.0000000000000027,0,97.000000000000099,2020
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2065.9999999999945,5425.9999999999991,1121.0000000000014,0,8721.0000000000073,2020
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2020
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,0,0,0,0,2020
