IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
052,Malignant neoplasm of stomach (C16),132.00000000000034,865.00000000000216,201.00000000000009,0,1200.999999999997,2017
053,Malignant neoplasm of colon (C18),557.99999999999955,1451.9999999999984,297.00000000000091,0,2335.0000000000045,2017
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",621.99999999999966,1984.9999999999986,625.00000000000034,0,3242.0000000000041,2017
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),96.000000000000256,565.99999999999943,227.00000000000009,0,984.99999999999909,2017
056,Malignant neoplasm of pancreas (C25),65.000000000000028,155.00000000000017,70.000000000000028,1.0000000000000022,295.00000000000074,2017
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",63.000000000000007,187.00000000000048,78.999999999999886,0,332.99999999999989,2017
058,Malignant neoplasm of larnyx (C32),208.99999999999986,1247.0000000000002,376.00000000000023,1.0000000000000033,1836.9999999999966,2017
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",480.00000000000102,3221.0000000000027,977.99999999999898,1.0000000000000036,4694.0000000000118,2017
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",63.000000000000149,105.00000000000001,34,0,212.0000000000002,2017
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",398.00000000000068,209.00000000000031,49.000000000000028,1.0000000000000033,1055.999999999998,2017
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",87.999999999999929,282.00000000000034,98.000000000000298,0,474.00000000000074,2017
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",262.00000000000085,244.00000000000063,67.999999999999915,0,731.00000000000091,2017
064,Malignant neoplasm of breast (C50),83.000000000000114,198.99999999999955,37.000000000000028,0,322.00000000000017,2017
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2017
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2017
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2017
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2017
069,Malignant neoplasm of prostate (C61),54.999999999999815,1312.9999999999993,1349.0000000000043,0,2720.0000000000009,2017
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",288.00000000000063,196,76,0,596.00000000000023,2017
071,Malignant neoplasm of bladder (C67),166.00000000000023,1301.0000000000023,742,0,2219.9999999999982,2017
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",127.00000000000004,312.00000000000011,107.99999999999986,0,643,2017
073,Malignant neoplasm of eye and adnexa (C69),12,17.000000000000082,3.000000000000004,0,190.00000000000045,2017
074,Malignant neoplasm of brain(C71),334.99999999999989,315.99999999999977,68.999999999999915,0,992.99999999999807,2017
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",26.999999999999947,32.000000000000014,19.000000000000007,0,84.000000000000199,2017
076,Malignant neoplasm of thyroid gland (C73),195.00000000000028,299.00000000000102,60.000000000000185,0,572.00000000000034,2017
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",331.0000000000004,954.99999999999795,350.99999999999989,0,1951.0000000000002,2017
078,Hodgkin's disease (C81),308,194.99999999999974,64.000000000000171,0,660.99999999999704,2017
079,Leukaemia (C91-C95),1303.0000000000009,681.00000000000182,291.99999999999989,0,6862.9999999999864,2017
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",989.00000000000136,2245.0000000000077,814.9999999999992,0,4262.0000000000109,2017
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1690.9999999999995,6059.0000000000027,1418.0000000000011,1.0000000000000049,9231.0000000000055,2018
051,Malaignant neoplasm of oesophagus (C15),413.99999999999903,2827.9999999999968,801.99999999999977,0,4051.9999999999964,2018
052,Malignant neoplasm of stomach (C16),137.00000000000023,903.0000000000008,263,0,1306.9999999999995,2018
053,Malignant neoplasm of colon (C18),529.99999999999898,1841.0000000000005,399.00000000000074,0,2781.9999999999959,2018
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",542.99999999999955,2425.0000000000064,832.00000000000102,0,3807.0000000000095,2018
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),117.00000000000028,564.99999999999898,261.00000000000063,0,1088.9999999999977,2018
056,Malignant neoplasm of pancreas (C25),129.00000000000014,272.99999999999955,78.000000000000327,1,484,2018
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",83.000000000000142,207.00000000000014,96.999999999999815,0,386.99999999999966,2018
058,Malignant neoplasm of larnyx (C32),165.00000000000028,1235.0000000000009,366.99999999999966,0,1772.9999999999966,2018
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",519.99999999999966,3857.9999999999973,1253.9999999999986,1.000000000000004,5653.9999999999955,2018
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",104.00000000000024,160.99999999999983,62,0,339.99999999999926,2018
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",327.99999999999977,199.99999999999974,61,0,1036.9999999999973,2018
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",91.999999999999588,271.00000000000023,100.99999999999979,0,472.00000000000034,2018
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",277.00000000000034,373.99999999999932,118.00000000000018,0,1107.9999999999968,2018
064,Malignant neoplasm of breast (C50),128.99999999999974,333.99999999999983,97,0,565.99999999999977,2018
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2018
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2018
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2018
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2018
069,Malignant neoplasm of prostate (C61),72.000000000000284,1679.0000000000002,1655.9999999999991,0,3415.9999999999945,2018
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",242.00000000000051,260.00000000000074,94.999999999999901,0,651.00000000000034,2018
071,Malignant neoplasm of bladder (C67),194.00000000000009,1224.0000000000016,811.00000000000125,0,2236.0000000000018,2018
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",131.00000000000031,433.99999999999926,138.00000000000037,0,864.99999999999886,2018
073,Malignant neoplasm of eye and adnexa (C69),13,27.000000000000039,14.000000000000002,0,266.00000000000023,2018
074,Malignant neoplasm of brain (C71),354.99999999999932,292.00000000000006,96.000000000000327,2.0000000000000071,1038.9999999999982,2018
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",21.000000000000028,36.999999999999943,9,0,70.999999999999886,2018
076,Malignant neoplasm of thyroid gland (C73),246.00000000000017,290.00000000000051,59.999999999999893,0,614.99999999999875,2018
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",456.00000000000057,1059,360,0,2181.9999999999986,2018
078,Hodgkin's disease (C81),248.00000000000063,225.99999999999957,51.000000000000036,0,583.99999999999829,2018
079,Leukaemia (C91-C95),1270.9999999999959,653.99999999999784,324.99999999999989,0,6618.9999999999973,2018
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1551.0000000000014,3106.0000000000032,1134.0000000000023,0,6129.0000000000055,2018
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1683.9999999999964,5964.0000000000136,1559.0000000000009,0,9264.9999999999673,2019
051,Malaignant neoplasm of oesophagus (C15),363,2956.9999999999959,967.00000000000148,1.0000000000000051,4296.9999999999964,2019
052,Malignant neoplasm of stomach (C16),204.00000000000011,1048.9999999999991,248.00000000000048,0,1502.9999999999998,2019
053,Malignant neoplasm of colon (C18),625.00000000000023,1874.0000000000036,549.99999999999943,0,3063.9999999999955,2019
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",563.00000000000182,2236.9999999999977,848.99999999999841,0,3653,2019
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),145.00000000000028,727.00000000000114,293.99999999999943,0,1337.9999999999989,2019
056,Malignant neoplasm of pancreas (C25),117.0000000000007,349.9999999999996,106.99999999999969,1.0000000000000031,577,2019
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",69.999999999999915,235.00000000000034,108.00000000000037,0,417.99999999999926,2019
058,Malignant neoplasm of larnyx (C32),116.00000000000065,1330.9999999999975,404.99999999999955,0,1854.0000000000007,2019
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",592,3933.9999999999859,1343.9999999999986,0,5886.0000000000009,2019
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",78.000000000000142,161.0000000000002,70.000000000000043,0,319.99999999999949,2019
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",408.99999999999943,138.00000000000017,57,2.0000000000000049,1258.9999999999993,2019
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",118.0000000000002,348.00000000000045,134.00000000000051,0,616.00000000000034,2019
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",262.99999999999977,326.00000000000085,117.00000000000033,0,985.00000000000171,2019
064,Malignant neoplasm of breast (C50),105.00000000000055,282,87.000000000000043,0,478.99999999999966,2019
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2019
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2019
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2019
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2019
069,Malignant neoplasm of prostate (C61),68.000000000000028,1814.9999999999984,1927.0000000000014,0,3817.9999999999945,2019
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",273.00000000000006,246.9999999999998,81,0,697.00000000000057,2019
071,Malignant neoplasm of bladder (C67),181.00000000000028,1363.0000000000018,895.99999999999898,0,2446.0000000000005,2019
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",138.00000000000011,390.00000000000011,139,0,864.99999999999966,2019
073,Malignant neoplasm of eye and adnexa (C69),10.000000000000002,16.000000000000007,7.0000000000000098,0,222,2019
074,Malignant neoplasm of brain (C71),348.99999999999949,311.99999999999989,64,0,1012.9999999999994,2019
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",11.000000000000004,26.000000000000036,13,0,80.999999999999915,2019
076,Malignant neoplasm of thyroid gland (C73),240.00000000000014,325.00000000000085,86.000000000000014,0,658.99999999999886,2019
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",509.00000000000074,1001.0000000000013,358.9999999999992,0,2239,2019
078,Hodgkin's disease (C81),419.00000000000045,235.99999999999989,75.000000000000114,0,831.99999999999955,2019
079,Leukaemia (C91-C95),1592.9999999999991,709.99999999999977,258,1.0000000000000031,6747.0000000000155,2019
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1374.9999999999991,3088.9999999999945,1114,0,5892.9999999999864,2019
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1342.0000000000005,5127.9999999999918,1440.0000000000043,1.0000000000000042,7958.0000000000109,2020
051,Malaignant neoplasm of oesophagus (C15),333.00000000000034,2351.0000000000068,743.00000000000091,0,3433.0000000000064,2020
052,Malignant neoplasm of stomach (C16),176.00000000000014,846.0000000000008,284.99999999999943,0,1311.0000000000005,2020
053,Malignant neoplasm of colon (C18),656.00000000000091,1649.9999999999991,507.00000000000131,0,2819.0000000000032,2020
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",648.00000000000171,2239.0000000000055,769.00000000000068,0,3666.9999999999882,2020
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),85,634.00000000000045,301.00000000000023,0,1220.9999999999998,2020
056,Malignant neoplasm of pancreas (C25),73.000000000000327,285.99999999999977,86.000000000000142,0,447.00000000000108,2020
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",64.000000000000071,236.99999999999986,107.00000000000001,0,410.00000000000045,2020
058,Malignant neoplasm of larnyx (C32),143,1057.0000000000014,319.9999999999996,0,1522.999999999995,2020
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",523,3410.9999999999923,1171.0000000000005,0,5116.0000000000155,2020
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",86.000000000000071,126.00000000000024,55.000000000000014,0,274.99999999999977,2020
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",311.99999999999892,95.000000000000085,50.000000000000007,0,1067.0000000000023,2020
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",93,218.99999999999974,112.00000000000014,1.0000000000000042,428.99999999999881,2020
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",356,284.00000000000051,102.00000000000041,0,942.9999999999992,2020
064,Malignant neoplasm of breast (C50),82.000000000000142,210.99999999999955,85.000000000000057,0,381.00000000000028,2020
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2020
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2020
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2020
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2020
069,Malignant neoplasm of prostate (C61),60.000000000000121,1377,1627.9999999999986,0,3067.0000000000018,2020
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",270,254.00000000000026,159.00000000000063,0,701.00000000000114,2020
071,Malignant neoplasm of bladder (C67),117.00000000000014,1086.0000000000014,876,2.0000000000000062,2082.9999999999968,2020
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",80.999999999999929,334.00000000000085,145.00000000000014,0,643,2020
073,Malignant neoplasm of eye and adnexa (C69),4,17,6.0000000000000018,0,194.99999999999926,2020
074,Malignant neoplasm of brain (C71),285.0000000000004,269,61.999999999999879,0,875.0000000000008,2020
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",15,30.000000000000021,9.0000000000000124,0,85.000000000000014,2020
